phase,phase_iteration,global_iteration,algorithm,cvar_value,root,nproc,message_size_bytes,time_sum_sec,avg_latency_sec,min_time_sec,max_time_sec,correct
warmup,0,0,binomial,1,0,32,2,0.006945891,0.000217059,0.000058771,0.000391844,1
warmup,1,1,binomial,1,0,32,2,0.000435415,0.000013607,0.000007164,0.000020789,1
warmup,2,2,binomial,1,0,32,2,0.000216790,0.000006775,0.000001793,0.000013035,1
warmup,3,3,binomial,1,0,32,2,0.000198664,0.000006208,0.000001353,0.000010340,1
warmup,4,4,binomial,1,0,32,2,0.000169898,0.000005309,0.000001583,0.000011231,1
warmup,5,5,binomial,1,0,32,2,0.000197437,0.000006170,0.000001643,0.000011391,1
warmup,6,6,binomial,1,0,32,2,0.000442353,0.000013824,0.000009267,0.000019797,1
warmup,7,7,binomial,1,0,32,2,0.000246852,0.000007714,0.000001553,0.000016111,1
warmup,8,8,binomial,1,0,32,2,0.000304159,0.000009505,0.000005670,0.000016080,1
warmup,9,9,binomial,1,0,32,2,0.000196144,0.000006130,0.000001553,0.000012133,1
warmup,10,10,binomial,1,0,32,2,0.000194058,0.000006064,0.000001483,0.000012934,1
warmup,11,11,binomial,1,0,32,2,0.000195269,0.000006102,0.000001523,0.000010440,1
warmup,12,12,binomial,1,0,32,2,0.000170161,0.000005318,0.000001573,0.000010139,1
warmup,13,13,binomial,1,0,32,2,0.000196035,0.000006126,0.000001543,0.000011251,1
warmup,14,14,binomial,1,0,32,2,0.000439775,0.000013743,0.000009147,0.000022051,1
warmup,15,15,binomial,1,0,32,2,0.000230009,0.000007188,0.000001543,0.000014748,1
warmup,16,16,binomial,1,0,32,2,0.000391246,0.000012226,0.000006012,0.000018124,1
warmup,17,17,binomial,1,0,32,2,0.000185323,0.000005791,0.000001643,0.000011100,1
warmup,18,18,binomial,1,0,32,2,0.000176490,0.000005515,0.000001593,0.000009418,1
warmup,19,19,binomial,1,0,32,2,0.000171150,0.000005348,0.000001603,0.000009408,1
warmup,20,20,binomial,1,0,32,2,0.000165197,0.000005162,0.000001573,0.000009368,1
warmup,21,21,binomial,1,0,32,2,0.000167172,0.000005224,0.000001282,0.000009398,1
warmup,22,22,binomial,1,0,32,2,0.000397474,0.000012421,0.000009057,0.000018605,1
warmup,23,23,binomial,1,0,32,2,0.000185720,0.000005804,0.000001413,0.000012103,1
warmup,24,24,binomial,1,0,32,2,0.000300420,0.000009388,0.000006091,0.000015008,1
warmup,25,25,binomial,1,0,32,2,0.000163239,0.000005101,0.000001573,0.000008656,1
warmup,26,26,binomial,1,0,32,2,0.000163700,0.000005116,0.000001493,0.000009388,1
warmup,27,27,binomial,1,0,32,2,0.000157150,0.000004911,0.000001583,0.000009397,1
warmup,28,28,binomial,1,0,32,2,0.000158431,0.000004951,0.000001653,0.000009397,1
warmup,29,29,binomial,1,0,32,2,0.000194843,0.000006089,0.000001373,0.000011322,1
warmup,30,30,binomial,1,0,32,2,0.000169535,0.000005298,0.000001503,0.000013746,1
warmup,31,31,binomial,1,0,32,2,0.000160881,0.000005028,0.000001272,0.000009407,1
warmup,32,32,binomial,1,0,32,2,0.000160407,0.000005013,0.000001292,0.000011291,1
warmup,33,33,binomial,1,0,32,2,0.000149505,0.000004672,0.000001342,0.000008476,1
warmup,34,34,binomial,1,0,32,2,0.000153840,0.000004808,0.000001382,0.000008577,1
warmup,35,35,binomial,1,0,32,2,0.000181460,0.000005671,0.000001433,0.000012473,1
warmup,36,36,binomial,1,0,32,2,0.000155555,0.000004861,0.000001503,0.000009819,1
warmup,37,37,binomial,1,0,32,2,0.000159929,0.000004998,0.000001512,0.000009077,1
warmup,38,38,binomial,1,0,32,2,0.000153129,0.000004785,0.000001252,0.000008676,1
warmup,39,39,binomial,1,0,32,2,0.000161545,0.000005048,0.000001452,0.000008486,1
warmup,40,40,binomial,1,0,32,2,0.000151398,0.000004731,0.000001472,0.000008486,1
warmup,41,41,binomial,1,0,32,2,0.000158108,0.000004941,0.000001593,0.000008476,1
warmup,42,42,binomial,1,0,32,2,0.000150871,0.000004715,0.000001403,0.000008637,1
warmup,43,43,binomial,1,0,32,2,0.000151027,0.000004720,0.000001332,0.000008446,1
warmup,44,44,binomial,1,0,32,2,0.000153702,0.000004803,0.000001533,0.000008465,1
warmup,45,45,binomial,1,0,32,2,0.000150694,0.000004709,0.000001402,0.000008486,1
warmup,46,46,binomial,1,0,32,2,0.000152913,0.000004779,0.000001613,0.000008496,1
warmup,47,47,binomial,1,0,32,2,0.000150973,0.000004718,0.000001452,0.000008476,1
warmup,48,48,binomial,1,0,32,2,0.000149375,0.000004668,0.000001523,0.000008506,1
warmup,49,49,binomial,1,0,32,2,0.000152396,0.000004762,0.000001332,0.000009317,1
warmup,50,50,binomial,1,0,32,2,0.000151076,0.000004721,0.000001473,0.000008446,1
warmup,51,51,binomial,1,0,32,2,0.000148729,0.000004648,0.000001373,0.000008416,1
warmup,52,52,binomial,1,0,32,2,0.000147533,0.000004610,0.000001393,0.000008396,1
warmup,53,53,binomial,1,0,32,2,0.000151380,0.000004731,0.000001833,0.000008436,1
warmup,54,54,binomial,1,0,32,2,0.000150015,0.000004688,0.000001242,0.000008445,1
warmup,55,55,binomial,1,0,32,2,0.000151939,0.000004748,0.000001422,0.000008465,1
warmup,56,56,binomial,1,0,32,2,0.000153448,0.000004795,0.000001503,0.000008416,1
warmup,57,57,binomial,1,0,32,2,0.000148974,0.000004655,0.000001613,0.000007544,1
warmup,58,58,binomial,1,0,32,2,0.000147720,0.000004616,0.000001483,0.000007694,1
warmup,59,59,binomial,1,0,32,2,0.000148269,0.000004633,0.000001292,0.000008435,1
warmup,60,60,binomial,1,0,32,2,0.000150494,0.000004703,0.000001523,0.000008435,1
warmup,61,61,binomial,1,0,32,2,0.000150727,0.000004710,0.000001643,0.000008435,1
warmup,62,62,binomial,1,0,32,2,0.000148598,0.000004644,0.000001453,0.000008426,1
warmup,63,63,binomial,1,0,32,2,0.000149395,0.000004669,0.000001262,0.000008446,1
warmup,64,64,binomial,1,0,32,2,0.000147987,0.000004625,0.000001322,0.000008445,1
warmup,65,65,binomial,1,0,32,2,0.000149322,0.000004666,0.000001423,0.000008446,1
warmup,66,66,binomial,1,0,32,2,0.000146475,0.000004577,0.000001322,0.000007574,1
warmup,67,67,binomial,1,0,32,2,0.000148949,0.000004655,0.000001353,0.000008466,1
warmup,68,68,binomial,1,0,32,2,0.000151995,0.000004750,0.000001613,0.000008445,1
warmup,69,69,binomial,1,0,32,2,0.000148122,0.000004629,0.000001163,0.000008446,1
warmup,70,70,binomial,1,0,32,2,0.000145706,0.000004553,0.000001333,0.000008366,1
warmup,71,71,binomial,1,0,32,2,0.000149590,0.000004675,0.000001473,0.000008396,1
warmup,72,72,binomial,1,0,32,2,0.000148693,0.000004647,0.000001493,0.000008446,1
warmup,73,73,binomial,1,0,32,2,0.000147224,0.000004601,0.000001372,0.000008416,1
warmup,74,74,binomial,1,0,32,2,0.000149876,0.000004684,0.000001593,0.000008456,1
warmup,75,75,binomial,1,0,32,2,0.000149835,0.000004682,0.000001353,0.000008426,1
warmup,76,76,binomial,1,0,32,2,0.000149505,0.000004672,0.000001542,0.000008466,1
warmup,77,77,binomial,1,0,32,2,0.000149852,0.000004683,0.000001533,0.000008416,1
warmup,78,78,binomial,1,0,32,2,0.000147255,0.000004602,0.000001222,0.000008466,1
warmup,79,79,binomial,1,0,32,2,0.000149397,0.000004669,0.000001353,0.000008436,1
warmup,80,80,binomial,1,0,32,2,0.000148224,0.000004632,0.000001313,0.000008396,1
warmup,81,81,binomial,1,0,32,2,0.000150876,0.000004715,0.000001422,0.000008466,1
warmup,82,82,binomial,1,0,32,2,0.000149863,0.000004683,0.000001593,0.000008405,1
warmup,83,83,binomial,1,0,32,2,0.000149394,0.000004669,0.000001383,0.000008446,1
warmup,84,84,binomial,1,0,32,2,0.000151249,0.000004727,0.000001533,0.000008396,1
warmup,85,85,binomial,1,0,32,2,0.000149350,0.000004667,0.000001814,0.000008436,1
warmup,86,86,binomial,1,0,32,2,0.000149070,0.000004658,0.000001422,0.000008395,1
warmup,87,87,binomial,1,0,32,2,0.000150304,0.000004697,0.000001303,0.000008446,1
warmup,88,88,binomial,1,0,32,2,0.000148499,0.000004641,0.000001343,0.000008426,1
warmup,89,89,binomial,1,0,32,2,0.000152448,0.000004764,0.000001683,0.000008436,1
warmup,90,90,binomial,1,0,32,2,0.000147716,0.000004616,0.000001312,0.000008476,1
warmup,91,91,binomial,1,0,32,2,0.000152668,0.000004771,0.000001733,0.000008425,1
warmup,92,92,binomial,1,0,32,2,0.000188180,0.000005881,0.000001664,0.000010370,1
warmup,93,93,binomial,1,0,32,2,0.000149733,0.000004679,0.000001483,0.000008496,1
warmup,94,94,binomial,1,0,32,2,0.000149424,0.000004669,0.000001473,0.000008516,1
warmup,95,95,binomial,1,0,32,2,0.000149749,0.000004680,0.000001453,0.000008486,1
warmup,96,96,binomial,1,0,32,2,0.000150535,0.000004704,0.000001563,0.000008486,1
warmup,97,97,binomial,1,0,32,2,0.000150696,0.000004709,0.000001553,0.000008536,1
warmup,98,98,binomial,1,0,32,2,0.000151041,0.000004720,0.000001423,0.000008496,1
warmup,99,99,binomial,1,0,32,2,0.000150827,0.000004713,0.000001413,0.000008546,1
warmup,100,100,binomial,1,0,32,2,0.000151369,0.000004730,0.000001303,0.000008476,1
warmup,101,101,binomial,1,0,32,2,0.000153679,0.000004802,0.000001563,0.000008516,1
warmup,102,102,binomial,1,0,32,2,0.000148690,0.000004647,0.000001312,0.000008506,1
warmup,103,103,binomial,1,0,32,2,0.000149453,0.000004670,0.000001332,0.000008506,1
warmup,104,104,binomial,1,0,32,2,0.000149694,0.000004678,0.000001312,0.000008515,1
warmup,105,105,binomial,1,0,32,2,0.000164605,0.000005144,0.000001543,0.000008967,1
warmup,106,106,binomial,1,0,32,2,0.000149000,0.000004656,0.000001313,0.000008526,1
warmup,107,107,binomial,1,0,32,2,0.000150882,0.000004715,0.000001483,0.000008516,1
warmup,108,108,binomial,1,0,32,2,0.000151645,0.000004739,0.000001543,0.000008466,1
warmup,109,109,binomial,1,0,32,2,0.000155646,0.000004864,0.000001323,0.000008446,1
warmup,110,110,binomial,1,0,32,2,0.000149942,0.000004686,0.000001473,0.000008486,1
warmup,111,111,binomial,1,0,32,2,0.000149598,0.000004675,0.000001473,0.000008476,1
warmup,112,112,binomial,1,0,32,2,0.000150583,0.000004706,0.000001372,0.000008496,1
warmup,113,113,binomial,1,0,32,2,0.000151640,0.000004739,0.000001553,0.000008456,1
warmup,114,114,binomial,1,0,32,2,0.000148726,0.000004648,0.000001442,0.000008465,1
warmup,115,115,binomial,1,0,32,2,0.000149756,0.000004680,0.000001453,0.000008516,1
warmup,116,116,binomial,1,0,32,2,0.000151219,0.000004726,0.000001403,0.000008526,1
warmup,117,117,binomial,1,0,32,2,0.000150929,0.000004717,0.000001453,0.000008516,1
warmup,118,118,binomial,1,0,32,2,0.000150919,0.000004716,0.000001523,0.000008466,1
warmup,119,119,binomial,1,0,32,2,0.000151165,0.000004724,0.000001593,0.000008486,1
warmup,120,120,binomial,1,0,32,2,0.000150510,0.000004703,0.000001472,0.000008455,1
warmup,121,121,binomial,1,0,32,2,0.000148014,0.000004625,0.000001323,0.000007714,1
warmup,122,122,binomial,1,0,32,2,0.000149476,0.000004671,0.000001543,0.000008466,1
warmup,123,123,binomial,1,0,32,2,0.000149490,0.000004672,0.000001363,0.000008446,1
warmup,124,124,binomial,1,0,32,2,0.000148954,0.000004655,0.000001342,0.000008506,1
warmup,125,125,binomial,1,0,32,2,0.000149635,0.000004676,0.000001383,0.000008476,1
warmup,126,126,binomial,1,0,32,2,0.000149069,0.000004658,0.000001393,0.000008506,1
warmup,127,127,binomial,1,0,32,2,0.000148034,0.000004626,0.000001363,0.000008506,1
warmup,128,128,binomial,1,0,32,2,0.000149799,0.000004681,0.000001493,0.000008506,1
warmup,129,129,binomial,1,0,32,2,0.000152572,0.000004768,0.000001463,0.000008476,1
warmup,130,130,binomial,1,0,32,2,0.000149524,0.000004673,0.000001232,0.000008506,1
warmup,131,131,binomial,1,0,32,2,0.000149817,0.000004682,0.000001232,0.000008496,1
warmup,132,132,binomial,1,0,32,2,0.000149075,0.000004659,0.000001452,0.000008466,1
warmup,133,133,binomial,1,0,32,2,0.000149256,0.000004664,0.000001183,0.000008516,1
warmup,134,134,binomial,1,0,32,2,0.000151381,0.000004731,0.000001403,0.000008486,1
warmup,135,135,binomial,1,0,32,2,0.000149891,0.000004684,0.000001213,0.000008506,1
